XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:17:27,678 | INFO | Ledger Stream Respons: LedgerIndex =  61584582
XRPL_MAIN | xrpl_socket.py | 103 | 2021-02-14 21:17:31,586 | INFO | Ledger Stream Respons: LedgerIndex =  61584583
MainThread | __main__.py | 76 | 2021-02-14 21:23:30,200 | INFO | CLIENT_ENV: development
MAIN | __main__.py | 52 | 2021-02-14 21:23:30,201 | INFO | 
Connecting XRPL Sockets
MAIN | xrpl_socket.py | 37 | 2021-02-14 21:23:30,207 | INFO | Data Resetted
MAIN | websocket_manager.py | 41 | 2021-02-14 21:23:30,207 | INFO | Connecting...
MainThread | _internal.py | 113 | 2021-02-14 21:23:30,219 | INFO |  * Running on http://0.0.0.0:9000/ (Press CTRL+C to quit)
XRPL_MAIN | xrpl_socket.py | 47 | 2021-02-14 21:23:33,987 | INFO | Connected --> 
XRPL_MAIN | xrpl_socket.py | 37 | 2021-02-14 21:23:33,987 | INFO | Data Resetted
XRPL_MAIN | xrpl_socket.py | 132 | 2021-02-14 21:23:34,075 | INFO | Ping Resolved: {'id': 'Opening Ping', 'result': {}, 'status': 'success', 'type': 'response'}
MAIN | __main__.py | 58 | 2021-02-14 21:23:35,020 | INFO | Subscribe to Ledger Closes
XRPL_MAIN | xrpl_socket.py | 187 | 2021-02-14 21:23:35,100 | INFO | Subscribed: {'id': '24927360f42151a7a016aabe5663bf78', 'result': {'fee_base': 10, 'fee_ref': 10, 'ledger_hash': '350C54BE60A0927D9CA9912A2D514579C4BC3D9B2C2C33A26147DB8DCF936097', 'ledger_index': 61584676, 'ledger_time': 666653011, 'reserve_base': 20000000, 'reserve_inc': 5000000, 'validated_ledgers': '60874008-61584676'}, 'status': 'success', 'type': 'response'}
XRPL_MAIN | websocket_manager.py | 68 | 2021-02-14 21:23:37,748 | ERROR | 'Globals' object has no attribute 'starting_ledger_index'
Traceback (most recent call last):
  File "/root/client/server/socket_clients/websocket_manager.py", line 66, in wrapped_f
    f(ws, *args, **kwargs)
